representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00221091.9	 	RPS15A	39099	1	2	3278911.768	4644834.513	4155818.301	3748827.645	3927303.98	3067279.138	3087820.665	3370334.598	2391716.646	2179764.868
IPI00032179.2	 	SERPINC1	39099	5	7	74203814.721	82841171.327	75239445.174	84792649.945	89199158.367	57252942.314	61499833.218	75173717.278	57842174.135	63661240.672
IPI00432718.2	 	SUMF1	39099	4	6	60658898.503	75527547.051	71330007.584	74576550.982	69734070.069	40279585.174	52148537.975	61429544.505	52408179.048	46058618.17
IPI00181702.3	 	SFRS15	39099	2	2	20749727.048	29312816.062	26937094.405	31498462.213	25181241.79	17200959.522	22845720.205	24533408.216	26877255.569	17774895.764
IPI00018219.1	 	TGFBI	39099	8	8	103760540.016	119056369.778	113356244.653	119578921.048	132970621.45	65714994.296	61614333.236	80653657.176	66189902.306	74055433.131
IPI00022959.1	 	PVRL3	39099	2	2	28662733.844	31952369.536	29678317.995	37626496.071	36492291.057	27241802.632	24576144.106	32331877.091	30966528.709	24516868.313
IPI00298618.1	 	EIF1AD	39099	1	1	8723880	9032084.063	8843849.509	10023043.545	11194874.692	7755682.714	8353457.613	10384192.175	9248448.293	7840903.896
IPI00514983.4	 	HSPH1	39099	9	10	78875516.258	79148726.159	97579463.929	100283300.442	128624545.042	53334295.123	51710434.657	68679205.092	55300844.632	69717584.986
IPI00219383.3	 	NDUFB3	39099	3	8	92401794.746	94828010.629	89204888.512	102782002.599	111663695.499	80622322.455	84176382.085	94166649.14	107003182.857	77832977.165
IPI00009904.1	 	PDIA4	39099	34	94	1507038485.3	1518611971.56	1724030184.82	1289258785.67	2015740369.85	905719643.97	1019978466.13	1446997071.2	676292056.249	1536430649.18
IPI00746093.1	 	SLC35A1	39099	3	3	128173803.255	136203176.197	119778329.399	169961094.508	159968341.606	131148253.741	129607500.009	150409943.212	171358556.797	121597977.558
IPI00014232.1	 	ARL6IP1	39099	3	9	134167129.632	153165507.426	112760385.62	162221684.672	160043972.324	115539601.835	115436042.132	135241254.686	149518912.524	101744206.912
IPI00642105.1	 	TAF9B	39099	4	5	33146929.432	35199949.583	35592529.207	42374140.236	41150532.253	27458702.126	30950659.044	33862742.859	39398102.403	33472031.484
IPI00014301.3	 	OXA1L	39099	2	2	23193776.319	24996743.364	23587575.493	29167613.872	28806958.336	11866788.967	12379060.16	14586972.362	14171356.063	11596752.648
IPI00868990.1	 	SLC22A23	39099	3	3	52653592.58	56899406.606	58840250.925	72982114.523	61247894.275	53064842.374	54308123.989	63169390.216	61007647.76	48155482.136
IPI00009253.2	 	NAPA	39099	6	8	153758585.649	159936782.966	172508181.445	168281840.791	207278009.303	89153537.252	90568254.238	119600270.126	96201972.199	103220267.212
IPI00029444.1	 	C12ORF10	39099	8	11	121783030.519	141021068.854	143731271.271	138182069.081	151017720.358	100335215.976	101835946.873	120876957.79	75590639.524	94035827.514
IPI00219729.3	 	SLC25A11	39099	13	22	222121465.212	279364704.426	273811630.111	400523943.845	278349817.174	198550406.867	208577010.248	272954769.908	377988543.705	227207981.308
IPI00220271.3	 	AKR1A1	39099	3	4	30806481.099	32574609.313	35807684.775	33589728.651	43247339.198	22754620.486	24148466.52	29374636.916	25390553.362	29232404.117
IPI00028912.2	 	VEZF1	39099	2	2	39657917.287	39474562.35	43651258.734	49093705.855	36102566.479	28528661.218	29903225.26	29597488.11	36733722.263	20620603.057
IPI00550627.1	 	TACC1	39099	10	11	63911462.101	76164155.426	84755116.935	88148747.541	86894615.484	55016898.645	61749077.203	70958324.9	61204877.732	51887810.032
IPI00000051.4	 	PFDN1	39099	6	9	78120200.921	86579148.078	83550289.301	104124905.877	108717817.21	63824098.839	72380259.01	75880307.736	75964813.829	69158058.321
IPI00305622.4	 	TGM1	39099	1	1	3914591.514	1828823.118	5514398.106	2816618.071	5538061.038	1943391.147	3390353.008	3346592.288	4153103.183	2162413.689
IPI00903286.1	 	SNRPD1	39099	2	8	69829068.054	68408422.549	66929615.834	79720911.573	85058934.862	56737388.584	55571516.866	65673497.931	70821131.806	58735354.771
IPI00024920.1	 	ATP5D	39099	2	5	75771583.857	73626275.359	72101561.63	102177092.506	90968590.693	71313907.685	78648425.635	96576923.009	77676916.389	71229768.667
IPI00020063.4	 	SLC35C1	39099	3	6	60594894.047	71409701.549	66358287.257	82340720.711	77751795.177	64802662.469	68080474.676	80971625.45	80147531.165	67159795.376
IPI00298214.2	 	ABCG2	39099	5	6	18094826.929	18045127.436	17404498.555	17712362.376	26160959.154	19216495.396	16446376.3	17704040.8	13314113.365	16058487.159
IPI00024502.2	 	UBQLN4	39099	8	10	85215830.326	92030639.46	90693993.189	107818589.562	101239095.453	69496669.132	82778301.298	92777014.816	87759793.359	75878726.916
IPI00879588.1	 	CLSPN	39099	2	2	14632125.926	12259045.387	19673309.634	18832569.913	20356381.297	15846468.331	19809346.949	14925290.083	15688065.136	14342369.822
IPI00219072.5	 	STK11	39099	2	2	9302070.717	8888312.641	9209763.233	12179585.081	10943937.241	6538972.165	6046356.42	6418133.379	7979972.511	6193480.926
IPI00747159.1	 	ACAD8	39099	4	5	42816734.478	45058395.54	42227693.399	72478592.774	55680774.54	22689600.671	21563228.883	25168498.17	48765692.944	23364706.602
IPI00220687.1	 	HM13	39099	11	56	1141916441.54	1272715675.4	1061792053.49	1676596805.05	1402070434.96	1143279641.4	1137888773.11	1245190839.73	1428516791	973039187.628
IPI00024157.1	 	FKBP3	39099	6	9	111695132.441	120030413.769	120429465.784	144399846.26	127509470.555	85269777.71	90542343.804	115709186.479	108942306.404	92083800.673
IPI00170770.2	 	PHF3	39099	12	12	100723415.287	120996951.13	127923990.917	157087385.063	118923999.151	82941268.829	86537215.708	93979826.898	104835747.431	73846229.482
IPI00021772.1	 	MAT1A	39099	5	8	76116363.015	78474490.181	78046075.613	95699892.647	99175388.085	66972618.35	64744643.681	77381116.843	70297598.347	66926887.207
